Tmedia,Urmedia,Vento_Km,Pressao,Chuva_mm,Rad_w_m2,ET_mm,ETClass
7.768055556,84.55555556,156.13,1018.7625,0,10372,1.16,1
8.128472222,84.84722222,172.4,1018.073611,0,20584,2.12,2
12.39027778,87.50694444,224.44,1013.211806,0.2,8117,1.07,1
12.74791667,89.3125,225.69,1013.779861,0,9499,1.22,1
12.05555556,92.42361111,195.72,1012.663194,0,8061,0.98,1
11.74236111,93.88194444,48.47,1010.5625,0,12287,1.11,1
13.82365591,91.91397849,34.95,1013.387097,0,9166,0.85,1
14.71428571,92.17857143,40.49,1009.960714,0,0,0.06,0
17.74791667,88.02083333,351.99,1003.565972,17.2,12500,1.85,2
15.79861111,96.15972222,201.73,999.2493056,20.4,4052,0.53,1
10.25,86.59027778,145.43,1011.604167,0.4,10865,1.09,1
8.646527778,75.54166667,95.19,1021.099306,0,20674,2.18,2
8.965277778,89.84722222,157.08,1020.971528,0,13433,1.34,1
12.50625,94.88194444,150.45,1018.530556,16.6,11016,1.04,1
15.34097222,87.25,212.12,1015.289583,2,21031,2.29,2
16.67847222,96.61805556,173.21,1008.450694,136.8,1356,0.15,0
12.22083333,93.31944444,251.82,1013.170139,2.4,4176,0.54,1
10.0875,85.54861111,109.82,1020.059722,0,20312,1.72,2
9.686805556,88.59722222,116.97,1020.732639,0.2,17473,1.63,2
11.98611111,88.50694444,160.69,1019.731944,0,13101,1.25,1
12.05555556,95,113.1,1019.446528,0.2,13300,1.21,1
14.74930556,84.44444444,184.57,1020.120833,0,21038,2.34,2
14.05625,89.03472222,137.52,1017.592361,0.2,18849,1.9,2
15.47013889,88,213.76,1013.671528,0,21262,2.3,2
18.11041667,80.82638889,210.74,1011.202778,0,16443,2.28,2
21.44930556,73.63888889,189.83,1013.071528,0,12538,2.3,2
21.22083333,82.64583333,185.53,1013.452778,0,15900,2.3,2
19.30902778,82.10416667,309.6,1008.990972,0,14991,2.66,3
16.90069444,85.23611111,212.2,1012.067361,0,20917,2.44,2
21.63541667,71.83333333,353.45,1004.561806,0.2,10282,2.73,3
18.22013889,85.91666667,266.76,1009.336111,0,16422,2.28,2
14.70902778,86.67361111,284.51,1015.104861,31.4,9790,1.52,2
17.475,89.03472222,347.63,1010.698611,17.6,21034,2.6,3
22.27013889,71.51388889,501.65,1000.905556,0,21109,4.39,4
24.03402778,61.93055556,349.27,1000.15625,0,13011,3.94,4
24.66666667,66.14583333,307.15,1005.640972,0,18081,3.96,4
24.69305556,62.65277778,406.92,1006.085417,0,22697,5.29,5
20.71319444,70.53472222,405.3,1008.709028,0,15189,3.56,4
15.60694444,92.66666667,186.08,1015.484028,5.2,4870,0.67,1
19.71527778,90.89583333,163.25,1011.715278,0,19544,2.16,2
18.575,92.38194444,270.68,1011.030556,14.4,5474,0.84,1
17.59722222,94.20138889,99,1012.015278,10,12547,1.31,1
14.37777778,91.34027778,132.52,1012.879167,0.4,9677,1.03,1
13.25972222,89.84722222,248.21,1019.04375,13.6,19073,2.13,2
18.3375,92.52083333,194.89,1011.809028,18.2,10730,1.18,1
16.69097222,97.44444444,112.68,1008.209028,26.4,4187,0.43,0
12.76180556,92.47222222,113.64,1014.269444,1,10683,1.03,1
13.64166667,87.54166667,251.48,1019.254861,0,13765,1.71,2
16.24583333,82.02083333,209.05,1013.315972,0,27230,3.19,3
16.92430556,87.97222222,257.76,1005.830556,0.6,6176,1.1,1
13.86736111,75.43055556,200.84,1012.161806,0.2,27832,3.3,3
9.8375,83.45833333,175.61,1017.454861,0,26104,2.57,3
14.40486111,85.00694444,250.14,1013.086806,0,28161,3.2,3
15.92708333,94.09722222,352.46,1005.76875,18.2,2551,0.54,1
12.66,95.83636364,62.14,1009.370909,0.2,1939,0.16,0
24.41525424,65.69491525,57.7,1009.347458,0,7833,1.37,1
23.35694444,69.05555556,324.29,1009.153472,0,26042,4.64,5
12.07708333,78.71527778,433.3,1021.138194,0,20437,2.9,3
12.36041667,80.18055556,237.77,1018.244444,0.2,26019,3.08,3
13.99583333,83.94444444,196.62,1014.909028,0,25013,2.72,3
12.875,89.99305556,223.69,1017.585417,1.8,18723,1.99,2
12.09652778,83.14583333,150.26,1018.503472,0.4,30448,3.19,3
11.75972222,89.05555556,141.31,1013.344444,0,22844,2.4,2
14.56319444,81.38194444,121.02,1005.713194,0.4,27547,2.97,3
15.43263889,83.70833333,107.31,1003.015278,0,23498,2.52,3
15.67083333,73.61111111,93.45,1006.621528,0.2,30737,3.52,4
11.14236111,92.20138889,173.76,1006.560417,4.2,5305,0.69,1
7.492361111,69.09722222,220.17,1013.938889,0,31104,3.44,3
8.217361111,59.38194444,132.64,1017.906944,0,33928,3.82,4
12.94513889,57.85416667,261,1017.047222,0,33399,5,5
16.87222222,50.76388889,265.72,1014.448611,0,33991,5.5,6
19.58263889,57.88888889,304.16,1006.075694,0,24726,4.74,5
13.97222222,91.25,298.25,1004.810417,91.6,4538,0.73,1
12.81608392,93.28873239,390.59,1008.975694,0,8390,1.09,1
15.33680556,81.61805556,374.72,1012.246528,0,24648,3.4,3
15.07847222,87.38888889,381.22,1012.699306,0,8332,1.56,2
16.42013889,88.9375,323.65,1011.354861,0.2,9164,1.47,1
18.07777778,93.50694444,299.33,1006.843056,45,5368,0.9,1
18.49375,97.28472222,170.85,1005.397917,42.6,4883,0.48,0
19.87083333,92.70138889,382.87,1001.85625,45.8,18028,2.3,2
19.69375,96.81944444,209.45,999.4333333,61.6,2515,0.43,0
16.68194444,90.77083333,169.63,1008.822222,1,27889,2.93,3
17.18819444,86.54166667,157.91,1011.748611,0,23151,2.55,3
15.32569444,86.89583333,101.53,1009.773611,0.2,26925,2.71,3
15.53055556,71.15277778,93.45,1007.873611,0.4,38311,4.39,4
15.70486111,82.5,126.3,1008.366667,0,7688,1.24,1
13.22152778,69.31944444,118.77,1012.390972,0,40377,4.35,4
16.86041667,74.31944444,262.27,1010.445139,0,37965,4.66,5
17.30833333,88.39583333,342.76,1005.424306,23.6,12957,1.96,2
11.07916667,76.36805556,151.02,1014.375694,0,28859,3.04,3
10.91041667,81.81944444,126.74,1016.372917,0,36373,3.51,4
14.97777778,72.27777778,243.6,1013.784028,0,37278,4.48,4
21.38541667,75.99305556,292.14,1006.538194,0,31205,4.41,4
19.78125,92.20833333,250.67,1003.643056,44.6,1186,0.6,1
16.15,97.20138889,337.14,1004.470833,49.6,2559,0.33,0
12.48263889,93.97916667,571.17,1012.303472,15.2,4918,0.81,1
13.05416667,93.75694444,454.67,1017.035417,22.2,9300,1.12,1
12.69027778,95.61805556,371.23,1015.434028,12.4,11512,1.16,1
13.93125,90.77083333,147.38,1012.428472,3.2,27101,2.7,3
15.20625,75.17361111,142.96,1012.461806,0.2,41386,4.57,5
18.05833333,88.52083333,312.39,1003.342361,43.4,21027,2.8,3
20.70347222,81.64583333,302.84,1000.59375,45.2,34345,4.4,4
14.99027778,70.91666667,136.7,1013.621528,0,42514,4.61,5
11.88705036,74.64748201,206.76,1021.054861,0,38611,4.08,4
12.53055556,73.375,200.75,1019.373611,0,41268,4.48,4
14.61180556,89.77777778,322.18,1008.877083,25.8,3687,0.88,1
20.23472222,87.78472222,316.97,1000.941667,91.8,17656,2.53,3
16.69375,83.72916667,296.65,1005.297222,0,39099,4.63,5
17.51944444,87.16666667,253.35,1007.986806,0,19014,2.46,2
15.85416667,86.61111111,157.38,1014.918056,0.4,41470,4.2,4
14.31944444,80.26388889,341.92,1017.972222,0,35039,4.1,4
14.77916667,87.81944444,278.14,1014.294444,0.8,7059,1.25,1
19.33888889,84.78472222,134.59,1010.646528,0,27549,3.05,3
19.62986111,86.93055556,251.75,1011.335417,0,29293,3.7,4
20.34305556,84.33333333,327.02,1012.290278,0.2,27550,3.66,4
23.64791667,74.07638889,218.47,1008.99375,0,43262,5.61,6
19.46666667,94.73611111,162.25,1006.721528,51.8,4850,0.68,1
15.79166667,92.54166667,350.41,1011.647222,5.2,10471,1.27,1
15.13333333,82.46527778,393.01,1015.1,0,27180,3.75,4
15.07013889,89.60416667,336.7,1012.3625,0.6,7445,1.31,1
18.69722222,90.43055556,195.03,1009.888889,0,22299,2.5,3
16.29444444,94.90277778,368.81,1013.454167,6,9151,1.01,1
15.83402778,89.34027778,311.6,1013.880556,14.8,22572,2.71,3
16.17708333,72.5625,163.56,1016.467361,0.2,47572,5.54,6
18.38055556,61.72222222,262.76,1013.575694,0,48435,6.62,7
20.39861111,80.35416667,179.85,1008.293056,0,43174,4.89,5
23.73263889,75.77777778,155.64,1007.233333,0,38774,4.91,5
21.31415929,91.27433628,170.36,1000.655882,33.4,5308,0.82,1
21.87708333,88.10416667,148.53,988.5277778,0,22528,2.77,3
20.67569444,79.875,279.41,984.8215278,18.6,26164,3.66,4
21.01875,80.25,412.08,978.0708333,18.8,30428,4.47,4
18.42847222,71.875,205.41,985.7881944,0,37747,4.6,5
19.47777778,63.82638889,198.57,987.7388889,0,49273,6.44,6
17.63611111,80.01388889,279.76,984.4611111,0.6,10035,1.79,2
19.86319444,83.65972222,156.45,980.3083333,0,14969,1.98,2
21.11805556,78.81944444,111.34,979.5215278,0,32933,3.81,4
18.58194444,90.10416667,91.75,978.1902778,4.2,15761,1.77,2
15.41736111,81.98611111,142.21,983.7881944,1.2,23418,2.7,3
15.76527778,67.93055556,98.83,989.2,0.2,50494,5.36,5
19.42638889,66.54861111,172.06,987.5465278,0,49892,6.04,6
17.54375,69.45138889,341.83,987.0298611,0,48619,6.46,6
17.0125,71.89583333,347.59,984.5819444,0,42266,5.71,6
18.66319444,73.80555556,346.7,986.0194444,0,24931,3.81,4
20.88263889,80.0625,295.56,986.0444444,0.2,20174,2.99,3
21.64722222,84.79861111,255.83,980.99375,0.6,15063,2.31,2
20.70833333,69.73611111,176.81,982.7590278,3.6,44219,5.27,5
18.79791667,54.61805556,95.99,990.2340278,0,50966,6.12,6
19.06805556,56.90972222,152.48,992.5486111,0,50398,6.35,6
20.76944444,52.79861111,256.16,990.1354167,0.8,44344,6.38,6
20.88958333,76.92361111,315.4,989.4354167,0,27014,4.05,4
21.25902778,78.13194444,233.07,986.9236111,0,21003,3.08,3
23.18541667,77.02777778,186.43,981.0555556,45.6,42450,5.22,5
19.86319444,75.6875,162.59,984.6451389,0,32916,4.27,4
17.68611111,67.57638889,146.36,988.4666667,0,46799,5.31,5
17.60833333,64.40277778,115.29,988.1847222,0,52394,5.94,6
21.75069444,61.1875,193.01,984.6958333,0,51898,6.79,7
20.64513889,81.67361111,121.49,982.0375,14.2,12519,1.81,2
21.53819444,67.75,38.92,983.6673611,0.2,49019,5.55,6
23.94583333,57.88194444,146.82,983.0930556,0,50509,6.63,7
26.48541667,59.3125,204.88,980.6256944,0,48332,6.95,7
22.45833333,76.71527778,236.31,979.2756944,18.2,27043,3.75,4
22.40347222,80.23611111,194.45,980.4111111,0,24414,3.4,3
22.57222222,73.32638889,171.03,985.8513889,0,43612,5.52,6
20.88194444,64.57638889,195.52,989.7125,0.2,51666,6.73,7
22.53472222,76.99305556,317.81,981.7833333,33.2,22128,3.66,4
20.99583333,86.00694444,149.47,980.2597222,82.2,15134,1.97,2
20.66597222,71.49305556,215.67,988.6,2.8,50674,6.02,6
19.92013889,67.90277778,260.93,991.1201389,0,52238,6.72,7
22.24861111,76.61111111,281.83,985.8229167,0.2,29873,4.49,4
20.07083333,87.86111111,220.49,983.5097222,45.2,1323,0.72,1
21.96805556,85.02777778,232.8,981.7645833,10,17180,2.37,2
21.74513889,88.42361111,208.72,986.2708333,0.8,13443,1.81,2
22.61180556,77.33333333,286.9,988.8833333,0,36834,5.2,5
20.98055556,82.40277778,160.04,985.6118056,0,22037,3.02,3
24.50486111,75.20833333,110.76,981.4055556,0,43746,5.23,5
25.96388889,72.125,183.89,982.2479167,0,44229,6.06,6
25.46875,79.01388889,149.93,982.3666667,0.6,27772,3.95,4
25.38125,87.03472222,144.53,978.0881944,7.4,20605,2.85,3
22.56388889,84.15972222,214.45,981.7305556,2,26706,3.58,4
22.15208333,79.5,241.59,985.3881944,0,20143,3.04,3
22.00694444,79.56944444,264.67,987.75,0,23015,3.53,4
24.28888889,74.00694444,292.4,987.0868056,0,36319,5.39,5
24.96180556,73.79861111,214.3,985.4763889,0.6,39138,5.26,5
22.57222222,89.97916667,260.37,983.9111111,78.2,10303,1.57,2
